WCRNumber,mean_ci_upper,pump_loc,mean_ci_lower,TotalCompletedDepth,tot_depth_msh,gwl_2019,gsp_name,high_10,lowering_cost_high_10,deepening_cost_high_10,low_10,lowering_cost_low_10,deepening_cost_low_10,total_cost_high_10,total_cost_low_10,high_20,lowering_cost_high_20,deepening_cost_high_20,low_20,lowering_cost_low_20,deepening_cost_low_20,total_cost_high_20,total_cost_low_20,high_30,lowering_cost_high_30,deepening_cost_high_30,low_30,lowering_cost_low_30,deepening_cost_low_30,total_cost_high_30,total_cost_low_30,high_40,lowering_cost_high_40,deepening_cost_high_40,low_40,lowering_cost_low_40,deepening_cost_low_40,total_cost_high_40,total_cost_low_40,high_50,lowering_cost_high_50,deepening_cost_high_50,low_50,lowering_cost_low_50,deepening_cost_low_50,total_cost_high_50,total_cost_low_50,high_60,lowering_cost_high_60,deepening_cost_high_60,low_60,lowering_cost_low_60,deepening_cost_low_60,total_cost_high_60,total_cost_low_60,high_70,lowering_cost_high_70,deepening_cost_high_70,low_70,lowering_cost_low_70,deepening_cost_low_70,total_cost_high_70,total_cost_low_70,high_80,lowering_cost_high_80,deepening_cost_high_80,low_80,lowering_cost_low_80,deepening_cost_low_80,total_cost_high_80,total_cost_low_80,high_90,lowering_cost_high_90,deepening_cost_high_90,low_90,lowering_cost_low_90,deepening_cost_low_90,total_cost_high_90,total_cost_low_90,high_100,lowering_cost_high_100,deepening_cost_high_100,low_100,lowering_cost_low_100,deepening_cost_low_100,total_cost_high_100,total_cost_low_100,high_110,lowering_cost_high_110,deepening_cost_high_110,low_110,lowering_cost_low_110,deepening_cost_low_110,total_cost_high_110,total_cost_low_110,high_120,lowering_cost_high_120,deepening_cost_high_120,low_120,lowering_cost_low_120,deepening_cost_low_120,total_cost_high_120,total_cost_low_120,high_130,lowering_cost_high_130,deepening_cost_high_130,low_130,lowering_cost_low_130,deepening_cost_low_130,total_cost_high_130,total_cost_low_130,high_140,lowering_cost_high_140,deepening_cost_high_140,low_140,lowering_cost_low_140,deepening_cost_low_140,total_cost_high_140,total_cost_low_140,high_150,lowering_cost_high_150,deepening_cost_high_150,low_150,lowering_cost_low_150,deepening_cost_low_150,total_cost_high_150,total_cost_low_150,high_160,lowering_cost_high_160,deepening_cost_high_160,low_160,lowering_cost_low_160,deepening_cost_low_160,total_cost_high_160,total_cost_low_160,high_170,lowering_cost_high_170,deepening_cost_high_170,low_170,lowering_cost_low_170,deepening_cost_low_170,total_cost_high_170,total_cost_low_170,high_180,lowering_cost_high_180,deepening_cost_high_180,low_180,lowering_cost_low_180,deepening_cost_low_180,total_cost_high_180,total_cost_low_180,high_190,lowering_cost_high_190,deepening_cost_high_190,low_190,lowering_cost_low_190,deepening_cost_low_190,total_cost_high_190,total_cost_low_190,high_200,lowering_cost_high_200,deepening_cost_high_200,low_200,lowering_cost_low_200,deepening_cost_low_200,total_cost_high_200,total_cost_low_200,high_210,lowering_cost_high_210,deepening_cost_high_210,low_210,lowering_cost_low_210,deepening_cost_low_210,total_cost_high_210,total_cost_low_210,high_220,lowering_cost_high_220,deepening_cost_high_220,low_220,lowering_cost_low_220,deepening_cost_low_220,total_cost_high_220,total_cost_low_220,high_230,lowering_cost_high_230,deepening_cost_high_230,low_230,lowering_cost_low_230,deepening_cost_low_230,total_cost_high_230,total_cost_low_230,high_240,lowering_cost_high_240,deepening_cost_high_240,low_240,lowering_cost_low_240,deepening_cost_low_240,total_cost_high_240,total_cost_low_240,high_250,lowering_cost_high_250,deepening_cost_high_250,low_250,lowering_cost_low_250,deepening_cost_low_250,total_cost_high_250,total_cost_low_250,high_260,lowering_cost_high_260,deepening_cost_high_260,low_260,lowering_cost_low_260,deepening_cost_low_260,total_cost_high_260,total_cost_low_260,high_270,lowering_cost_high_270,deepening_cost_high_270,low_270,lowering_cost_low_270,deepening_cost_low_270,total_cost_high_270,total_cost_low_270,high_280,lowering_cost_high_280,deepening_cost_high_280,low_280,lowering_cost_low_280,deepening_cost_low_280,total_cost_high_280,total_cost_low_280,high_290,lowering_cost_high_290,deepening_cost_high_290,low_290,lowering_cost_low_290,deepening_cost_low_290,total_cost_high_290,total_cost_low_290,high_300,lowering_cost_high_300,deepening_cost_high_300,low_300,lowering_cost_low_300,deepening_cost_low_300,total_cost_high_300,total_cost_low_300,mt_ft_bls,high_mt,lowering_cost_high_mt,deepening_cost_high_mt,low_mt,lowering_cost_low_mt,deepening_cost_low_mt,total_cost_high_mt,total_cost_low_mt
WCR0069953,284.1363023340477,282.1166295698652,280.09695680568274,480,450,104.84345593233968,Westside,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,16990.304319431725,0,failing,16586.36976659523,0,16990.304319431725,16586.36976659523,failing,16990.304319431725,0,failing,16586.36976659523,0,16990.304319431725,16586.36976659523,failing,16990.304319431725,0,failing,16586.36976659523,0,16990.304319431725,16586.36976659523,failing,16990.304319431725,0,failing,16586.36976659523,0,16990.304319431725,16586.36976659523,failing,16990.304319431725,0,failing,16586.36976659523,0,16990.304319431725,16586.36976659523,failing,16990.304319431725,0,failing,16586.36976659523,0,16990.304319431725,16586.36976659523,failing,16990.304319431725,0,failing,16586.36976659523,0,16990.304319431725,16586.36976659523,failing,16990.304319431725,0,failing,16586.36976659523,0,16990.304319431725,16586.36976659523,failing,16990.304319431725,0,failing,16586.36976659523,0,16990.304319431725,16586.36976659523,failing,16990.304319431725,0,failing,16586.36976659523,0,16990.304319431725,16586.36976659523,failing,16990.304319431725,0,failing,16586.36976659523,0,16990.304319431725,16586.36976659523,failing,16990.304319431725,0,failing,16586.36976659523,0,16990.304319431725,16586.36976659523,failing,16990.304319431725,0,failing,16586.36976659523,0,16990.304319431725,16586.36976659523,301.84557966064585,failing,16990.304319431725,0,failing,16586.36976659523,0,16990.304319431725,16586.36976659523
WCR0092689,364.02132250032673,362,359.97867749967327,600,570,253.7003971636762,Westside,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,21002.13225003267,0,active,0,0,21002.13225003267,0,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733,501.8512320223458,failing,21002.13225003267,0,failing,20597.86774996733,0,21002.13225003267,20597.86774996733
WCR0105731,292.0181557248129,290,287.9818442751871,380,350,225.7767276548986,Westside,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,6201.815572481291,0,failing,5798.184427518709,0,6201.815572481291,5798.184427518709,failing,6201.815572481291,0,failing,5798.184427518709,0,6201.815572481291,5798.184427518709,failing,6201.815572481291,0,failing,5798.184427518709,0,6201.815572481291,5798.184427518709,failing,6201.815572481291,0,failing,5798.184427518709,0,6201.815572481291,5798.184427518709,failing,6201.815572481291,0,failing,5798.184427518709,0,6201.815572481291,5798.184427518709,failing,6201.815572481291,0,failing,5798.184427518709,0,6201.815572481291,5798.184427518709,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,failing,6201.815572481291,11500,failing,5798.184427518709,11500,17701.81557248129,17298.18442751871,335.08982032723304,failing,6201.815572481291,0,failing,5798.184427518709,0,6201.815572481291,5798.184427518709
WCR0112501,207.93112513754275,205.91328813623701,203.89545113493128,360,330,166.415470680398,Westside,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,12610.454886506872,0,active,0,0,12610.454886506872,0,failing,12610.454886506872,0,failing,12206.887486245725,0,12610.454886506872,12206.887486245725,failing,12610.454886506872,0,failing,12206.887486245725,0,12610.454886506872,12206.887486245725,failing,12610.454886506872,0,failing,12206.887486245725,0,12610.454886506872,12206.887486245725,failing,12610.454886506872,0,failing,12206.887486245725,0,12610.454886506872,12206.887486245725,failing,12610.454886506872,0,failing,12206.887486245725,0,12610.454886506872,12206.887486245725,failing,12610.454886506872,0,failing,12206.887486245725,0,12610.454886506872,12206.887486245725,failing,12610.454886506872,0,failing,12206.887486245725,0,12610.454886506872,12206.887486245725,failing,12610.454886506872,0,failing,12206.887486245725,0,12610.454886506872,12206.887486245725,failing,12610.454886506872,0,failing,12206.887486245725,0,12610.454886506872,12206.887486245725,failing,12610.454886506872,0,failing,12206.887486245725,0,12610.454886506872,12206.887486245725,failing,12610.454886506872,0,failing,12206.887486245725,0,12610.454886506872,12206.887486245725,failing,12610.454886506872,0,failing,12206.887486245725,0,12610.454886506872,12206.887486245725,failing,12610.454886506872,11500,failing,12206.887486245725,11500,24110.454886506872,23706.887486245723,failing,12610.454886506872,11500,failing,12206.887486245725,11500,24110.454886506872,23706.887486245723,failing,12610.454886506872,11500,failing,12206.887486245725,11500,24110.454886506872,23706.887486245723,failing,12610.454886506872,11500,failing,12206.887486245725,11500,24110.454886506872,23706.887486245723,failing,12610.454886506872,11500,failing,12206.887486245725,11500,24110.454886506872,23706.887486245723,failing,12610.454886506872,11500,failing,12206.887486245725,11500,24110.454886506872,23706.887486245723,failing,12610.454886506872,11500,failing,12206.887486245725,11500,24110.454886506872,23706.887486245723,failing,12610.454886506872,11500,failing,12206.887486245725,11500,24110.454886506872,23706.887486245723,failing,12610.454886506872,11500,failing,12206.887486245725,11500,24110.454886506872,23706.887486245723,failing,12610.454886506872,11500,failing,12206.887486245725,11500,24110.454886506872,23706.887486245723,failing,12610.454886506872,11500,failing,12206.887486245725,11500,24110.454886506872,23706.887486245723,failing,12610.454886506872,11500,failing,12206.887486245725,11500,24110.454886506872,23706.887486245723,failing,12610.454886506872,11500,failing,12206.887486245725,11500,24110.454886506872,23706.887486245723,failing,12610.454886506872,11500,failing,12206.887486245725,11500,24110.454886506872,23706.887486245723,235.6848423196787,failing,12610.454886506872,0,failing,12206.887486245725,0,12610.454886506872,12206.887486245725
WCR0121455,362.18160324382626,360.1602807434995,358.1389582431728,600,570,237.63097256048457,Westside,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375,446.98366514713666,failing,21186.10417568272,0,failing,20781.839675617375,0,21186.10417568272,20781.839675617375
WCR0203760,362.18160324382626,360.1602807434995,358.1389582431728,NA,362.18160324382626,253.7003971636762,Westside,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500,501.8512320223458,failing,404.2645000653465,11500,failing,0,11500,11904.264500065347,11500
WCR0203987,220.48433828055659,218.4661825557437,216.44802683093081,380,350,104.84345593233968,Westside,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,13355.197316906919,0,failing,12951.566171944341,0,13355.197316906919,12951.566171944341,failing,13355.197316906919,0,failing,12951.566171944341,0,13355.197316906919,12951.566171944341,failing,13355.197316906919,0,failing,12951.566171944341,0,13355.197316906919,12951.566171944341,failing,13355.197316906919,0,failing,12951.566171944341,0,13355.197316906919,12951.566171944341,failing,13355.197316906919,0,failing,12951.566171944341,0,13355.197316906919,12951.566171944341,failing,13355.197316906919,0,failing,12951.566171944341,0,13355.197316906919,12951.566171944341,failing,13355.197316906919,0,failing,12951.566171944341,0,13355.197316906919,12951.566171944341,failing,13355.197316906919,0,failing,12951.566171944341,0,13355.197316906919,12951.566171944341,failing,13355.197316906919,0,failing,12951.566171944341,0,13355.197316906919,12951.566171944341,failing,13355.197316906919,0,failing,12951.566171944341,0,13355.197316906919,12951.566171944341,failing,13355.197316906919,0,failing,12951.566171944341,0,13355.197316906919,12951.566171944341,failing,13355.197316906919,0,failing,12951.566171944341,0,13355.197316906919,12951.566171944341,failing,13355.197316906919,0,failing,12951.566171944341,0,13355.197316906919,12951.566171944341,failing,13355.197316906919,11500,failing,12951.566171944341,11500,24855.197316906917,24451.56617194434,failing,13355.197316906919,11500,failing,12951.566171944341,11500,24855.197316906917,24451.56617194434,failing,13355.197316906919,11500,failing,12951.566171944341,11500,24855.197316906917,24451.56617194434,failing,13355.197316906919,11500,failing,12951.566171944341,11500,24855.197316906917,24451.56617194434,failing,13355.197316906919,11500,failing,12951.566171944341,11500,24855.197316906917,24451.56617194434,failing,13355.197316906919,11500,failing,12951.566171944341,11500,24855.197316906917,24451.56617194434,301.84557966064585,failing,13355.197316906919,0,failing,12951.566171944341,0,13355.197316906919,12951.566171944341
WCR0229707,224.15418350262348,222.13593581115882,220.11768811969415,NA,224.15418350262348,182.9615381968103,Westside,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,active,0,0,active,0,0,0,0,failing,403.64953829293313,0,active,0,0,403.64953829293313,0,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500,348.9753463010625,failing,403.64953829293313,11500,failing,0,11500,11903.649538292933,11500
