gsp_name,gsp_name_model
aliso,aliso
alpaugh_tule,alpaugh
buena_vista_kern,buena_vista
central_kings,central_kings
chowchilla,chowchilla
fresno_county,county_of_fresno
delano_earlimart_tule,delano_earlimart
east_kaweah,east_kaweah
eastern_san_joaquin,eastern_san_joaquin
east_tule,eastern_tule
farmers,farmers
grassland,grasslands
gravelly_ford_madera,gravelly_ford
greater_kaweah,greater_kaweah
henry_miller_kern,henry_miller
james_kings,james
kern_groundwater_authority,kern_groundwater_authority
kern_river,kern_river
kings_river_east,kings_river_east
lower_tule_river,lower_tule
madera_joint,madera
mc_mullin,mcmullin
merced,merced
mid_kaweah,mid_kaweah
new_stone_madera,new_stone
north_fork_kings,north_fork_kings
north_kings,north_kings
northern_central,northern_central
NA,olcese
pixley_tule,pixley
root_creek_madera,root_creek
sjrec,sjrec
south_kings,south_kings
tri_county_tule,tri_county
tulare_lake,tulare_lake
westside,westlands